category,book_name,author,publisher,publishDate,price
小说,了不起的盖茨比,[美] 斯科特·菲茨杰拉德,南海出版公司,2012-5,25.00元
小说,困惑,[美] 理查德·鲍尔斯,中信出版社,2023-6,69
小说,不能承受的生命之轻,米兰·昆德拉,上海译文出版社,2022-4-30,62.00
小说,奇迹之书,[爱尔兰]邓萨尼勋爵,南方出版社,2023-6,68.00
小说,远山淡影,[英] 石黑一雄,上海译文出版社,2011-5,27.00元
小说,在细雨中呼喊,余华,北京十月文艺出版社,2018-5-1,39.50
小说,19年间谋杀小叙,那多,人民文学出版社,2018-7,59.00元
小说,东方快车谋杀案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,18.00元
小说,狄仁杰奇案,[荷兰] 高罗佩,上海译文出版社,2023-4,49
小说,老妓抄,冈本加乃子,辽宁人民出版社,2022-2,65
小说,故事新编,鲁迅,人民文学出版社,1973-12-01,0.31 元
小说,同名同姓受害者协会,[日] 下村敦史,文汇出版社,2022-3,45
小说,Blue,[日] 叶真中显,新星出版社,2021-7,58.00元
小说,形影不离,[法]西蒙娜·德·波伏瓦,浙江教育出版社,2022-2-10,45.00元
小说,他人,[韩] 姜禾吉,台海出版社,2023-4,48.00元
小说,深潜游戏Ⅰ,[俄罗斯] 谢尔盖·卢基扬年科,新星出版社,2023-6,58
小说,滔滔生活,[韩]金爱烂,人民文学出版社,2022-10-15,45.00元
小说,字母表谜案,大山诚一郎,河南文艺出版社,2021-5,42.00元
小说,五只小猪,[英] 阿加莎·克里斯蒂,新星出版社,2014-10,28.00元
小说,变形记,[奥地利] 弗朗茨·卡夫卡,浙江人民出版社,2020-11-1,39.80
小说,床，沙发，我的人生,[法] 罗曼·莫内里,中信出版集团,2023-3,49.80元
小说,傲慢与偏见,[英] 奥斯丁,人民文学出版社,1993-7,13.00元
小说,莫失莫忘,[英] 石黑一雄,上海译文出版社,2018-6,49.00元
小说,牧羊少年奇幻之旅,[巴西] 保罗·柯艾略,南海出版公司,2009-3-1,25.00元
小说,台北人,白先勇,广西师范大学出版社,2015-1,48.00
小说,罪与罚,[俄] 陀思妥耶夫斯基,上海译文出版社,2015-1-1,CNY 58.00
小说,永恒的终结,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-9,32.00元
小说,夏,[英]阿莉·史密斯,浙江文艺出版社,2023-6,88.00元
小说,红手指,[日] 东野圭吾,南海出版公司,2015-1,39.50
小说,夏天、烟火和我的尸体,[日] 乙一,南海出版公司,2019-9,45.00
小说,肖像画,[日]依井贵裕,新星出版社,2023-5,49.00元
小说,球状闪电,刘慈欣,四川科学技术出版社,2005-6,22.00元
小说,寻获与失落,[美国] 厄休拉·勒古恩,河南文艺出版社,2022-9,138.00元
小说,蝲蛄吟唱的地方,[美] 迪莉娅·欧文斯,湖南文艺出版社,2019-10,58.00元
小说,天体嗜好症,[日] 稻垣足穗,湖南文艺出版社,2023-4,88
小说,名探偵のいけにえ,白井智之,新潮社,2022-9-15,JPY 2090
小说,月海与游梦人,[日本] 夏目漱石、[日本] 太宰治 等,广西师范大学出版社,2023-2,65.00
小说,神们自己,[美] 艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014-12-1,39.00元
小说,奇风岁月,Robert R. McCammon,译林出版社,2011-5,36.00元
小说,夜莺,[美]克莉丝汀·汉娜,北京联合出版公司,2021-11-1,68.00元
小说,证言,[加拿大] 玛格丽特·阿特伍德,上海译文出版社,2020-7,69.00元
小说,植物妻子,[韩] 韩江,四川文艺出版社,2023-3,58
小说,星期一，喝抹茶,[日] 青山美智子,湖南文艺出版社,2023-5,49.80
小说,找信号,索南才让,译林出版社,2023-2,62.00
小说,你想活出怎样的人生,[日] 吉野源三郎、[日] 胁田和(绘),南海出版公司,2019-8,49.50元
小说,仙症,郑执,北京日报出版社,2020-10,58.00元
小说,情人,[法] 玛格丽特·杜拉斯,上海译文出版社,2005-7,20.00元
小说,变形记,[奥地利] 弗朗茨·卡夫卡,北京燕山出版社,2020-1-1,45.00
小说,荒原狼,[德]赫尔曼·黑塞,上海译文出版社,2010-9,25.00元
小说,门：一位女作家的自白,[匈牙利] 萨博·玛格达,人民文学出版社,2023-6,59.00
小说,末日愚人,[日] 伊坂幸太郎,南海出版公司,2023-5-1,59.00元
小说,人性的枷锁,[英] 威廉·萨默塞特·毛姆,江西人民出版社,2016-5,68.00元
小说,烧纸,[韩] 李沧东,武汉大学出版社,2020-5,58.00
小说,诡秘之主,[韩] 李沧东,武汉大学出版社,2020-5,58.00
小说,无愁河的浪荡汉子·朱雀城,黄永玉,人民文学出版社,2013-8,138.00元
小说,春,[英] 阿莉·史密斯,许小凡,浙江文艺出版社,2023-3
